2023-12-11 17:35:53.1569|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5284 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-11 17:35:53.1569|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-11 17:35:53.1569|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-11 17:35:53.1569|0|INFO|Microsoft.Hosting.Lifetime|Content root path: G:\DotNetProjects\TeamTasks.Micro\TeamTasks.Micro.Identity |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-12-11 17:36:04.6597|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|Request for login an account - dsfdsfsddfgggdfg dsfsdf |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:36:43.2156|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:36:46.3703|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|Request for login an account - dsfdsfsddfgggdfg |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:36:48.7818|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|User logged in - dsfdsfsddfgggdfg 11.12.2023 11:36:48 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:36:52.7546|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|User authorized - dsfdsfsddfgggdfg 11.12.2023 11:36:52 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:37:11.1716|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:37:24.1927|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|Request for login an account - dsfdsfsddfgggdfgdfg dsfsdf |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:37:25.4668|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|Request for login an account - dsfdsfsddfgggdfgdfg |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:37:26.2962|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|User logged in - dsfdsfsddfgggdfgdfg 11.12.2023 11:37:26 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:37:28.7349|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|User authorized - dsfdsfsddfgggdfgdfg 11.12.2023 11:37:28 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:37:39.6420|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 1 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:37:44.0217|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|Request for login an account - dsfdsfsddfgggdfgdfgf dsfsdf |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:37:47.8691|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|Request for login an account - dsfdsfsddfgggdfgdfgf |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:37:50.1998|0|INFO|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler|User logged in - dsfdsfsddfgggdfgdfgf 11.12.2023 11:37:50 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Login.LoginCommandHandler.Handle
2023-12-11 17:37:50.9771|0|DEBUG|Quartz.Simpl.SimpleJobFactory|Producing instance of Job 'DEFAULT.59952249-35be-404c-ad5f-a1a0972728ef', class=TeamTasks.Micro.QuartZ.Jobs.DbTask |url: |action: |Quartz.Simpl.SimpleJobFactory.NewJob
2023-12-11 17:37:50.9771|0|DEBUG|Quartz.Core.QuartzSchedulerThread|Batch acquisition of 0 triggers |url: |action: |Quartz.Core.QuartzSchedulerThread.Run
2023-12-11 17:37:50.9771|0|DEBUG|Quartz.Core.JobRunShell|Calling Execute on job DEFAULT.59952249-35be-404c-ad5f-a1a0972728ef |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:37:50.9889|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:38:06.7490|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|User authorized - dsfdsfsddfgggdfgdfgf 11.12.2023 11:38:06 |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
2023-12-11 17:38:26.4456|0|DEBUG|Quartz.Core.JobRunShell|Trigger instruction : NoInstruction |url: |action: |Quartz.Core.JobRunShell.Run
2023-12-11 17:38:27.7388|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7004 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-11 17:38:27.7388|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5284 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-12-11 17:38:27.7388|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-11 17:38:27.7388|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-12-11 17:38:27.7388|0|INFO|Microsoft.Hosting.Lifetime|Content root path: G:\DotNetProjects\TeamTasks.Micro\TeamTasks.Micro.Identity |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-12-11 17:38:35.6159|0|INFO|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler|Request for login an account - dsfdsfsddfgggdfgdfgff dsfsdf |url: https://localhost/api/v1/identity/register-user|action: Register|TeamTasks.Micro.Identity.Commands.Register.RegisterCommandHandler.Handle
